exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
badminton,17.0,13.0,15.0,8.0,16.0,19.0,20.0,16.0,20.0,17.0,18.0,14.0,10.0,12.0,20.0,20.0,19.0,20.0,18.0,16.0,18.0,16.0,10.0,20.0,20.0,10.0,14.0,18.0,16.21428571,3.614345316,28
ballet,3.0,19.0,16.0,13.0,14.0,18.0,16.0,17.0,19.0,13.0,16.0,11.0,12.0,8.0,20.0,14.0,15.0,11.0,18.0,14.0,16.0,13.0,19.0,20.0,13.0,12.0,7.0,20.0,14.53571429,4.167618939,28
baseball,18.0,17.0,14.0,16.0,15.0,19.0,19.0,19.0,20.0,15.0,16.0,17.0,11.0,12.0,20.0,20.0,19.0,18.0,18.0,15.0,17.0,15.0,19.0,12.0,20.0,12.0,8.0,20.0,16.46428571,3.214344503,28
basketbal,18.0,19.0,16.0,18.0,20.0,19.0,20.0,19.0,20.0,20.0,18.0,17.0,16.0,18.0,20.0,20.0,18.0,20.0,19.0,18.0,20.0,17.0,19.0,20.0,20.0,11.0,20.0,20.0,18.57142857,1.951800146,28
biljarten,6.0,4.0,7.0,4.0,4.0,15.0,10.0,17.0,20.0,1.0,12.0,5.0,5.0,6.0,20.0,20.0,14.0,7.0,10.0,12.0,15.0,12.0,10.0,12.0,15.0,3.0,1.0,7.0,9.785714286,5.717789931,28
boksen,3.0,17.0,17.0,11.0,13.0,17.0,19.0,17.0,20.0,17.0,14.0,13.0,16.0,10.0,20.0,20.0,18.0,17.0,16.0,15.0,17.0,16.0,19.0,20.0,20.0,8.0,11.0,16.0,15.60714286,4.067388695,28
golf,9.0,7.0,13.0,8.0,12.0,16.0,16.0,14.0,20.0,1.0,15.0,7.0,4.0,5.0,20.0,20.0,17.0,16.0,9.0,15.0,18.0,13.0,3.0,20.0,18.0,13.0,6.0,12.0,12.39285714,5.632835519,28
handbal,18.0,19.0,14.0,12.0,20.0,18.0,19.0,19.0,20.0,20.0,17.0,14.0,12.0,15.0,20.0,20.0,19.0,18.0,17.0,14.0,14.0,12.0,17.0,17.0,20.0,9.0,17.0,20.0,16.82142857,3.103803777,28
hardlopen,19.0,19.0,16.0,13.0,20.0,18.0,20.0,19.0,19.0,20.0,18.0,20.0,19.0,16.0,20.0,20.0,18.0,19.0,16.0,17.0,20.0,20.0,20.0,20.0,20.0,14.0,14.0,20.0,18.35714286,2.111946368,28
ijshockey,18.0,18.0,16.0,8.0,13.0,18.0,18.0,18.0,20.0,18.0,17.0,14.0,4.0,15.0,20.0,20.0,17.0,16.0,19.0,14.0,15.0,16.0,17.0,20.0,20.0,15.0,8.0,19.0,16.10714286,3.928427126,28
judo,16.0,16.0,17.0,13.0,18.0,20.0,18.0,18.0,20.0,20.0,17.0,13.0,16.0,14.0,20.0,20.0,19.0,19.0,18.0,14.0,15.0,18.0,18.0,20.0,18.0,11.0,14.0,18.0,17.07142857,2.522910891,28
kogelstoten,8.0,10.0,13.0,7.0,10.0,16.0,15.0,17.0,20.0,16.0,15.0,11.0,10.0,6.0,20.0,20.0,16.0,16.0,14.0,12.0,13.0,16.0,12.0,11.0,17.0,7.0,6.0,10.0,13.0,4.18993503,28
paardrijden,4.0,15.0,14.0,11.0,3.0,16.0,19.0,19.0,20.0,8.0,15.0,12.0,18.0,11.0,20.0,20.0,17.0,20.0,19.0,14.0,20.0,18.0,20.0,18.0,16.0,9.0,12.0,13.0,15.03571429,4.8570845,28
rugby,4.0,19.0,15.0,14.0,15.0,18.0,18.0,19.0,20.0,20.0,17.0,11.0,9.0,15.0,20.0,20.0,18.0,19.0,18.0,14.0,14.0,12.0,18.0,17.0,20.0,12.0,8.0,17.0,15.75,4.115238169,28
schaken,1.0,3.0,7.0,1.0,6.0,15.0,13.0,5.0,13.0,1.0,12.0,4.0,2.0,5.0,18.0,18.0,14.0,13.0,9.0,11.0,10.0,8.0,1.0,9.0,10.0,3.0,1.0,3.0,7.714285714,5.401351977,28
schermen,17.0,12.0,15.0,8.0,10.0,17.0,17.0,15.0,20.0,16.0,15.0,7.0,7.0,10.0,20.0,20.0,16.0,15.0,13.0,13.0,14.0,15.0,18.0,12.0,16.0,7.0,6.0,14.0,13.75,4.106228332,28
skiÃ«n,16.0,18.0,15.0,17.0,15.0,16.0,17.0,18.0,20.0,11.0,17.0,13.0,11.0,14.0,20.0,20.0,19.0,16.0,18.0,14.0,20.0,20.0,20.0,19.0,20.0,12.0,9.0,20.0,16.60714286,3.247098827,28
sportvissen,7.0,5.0,3.0,1.0,5.0,14.0,10.0,14.0,20.0,1.0,11.0,3.0,1.0,4.0,18.0,18.0,16.0,9.0,8.0,12.0,12.0,5.0,1.0,12.0,4.0,3.0,4.0,8.0,8.178571429,5.735229476,28
squash,17.0,19.0,16.0,14.0,20.0,16.0,18.0,15.0,20.0,16.0,18.0,18.0,12.0,12.0,20.0,20.0,18.0,19.0,14.0,13.0,16.0,17.0,17.0,20.0,20.0,13.0,7.0,20.0,16.60714286,3.212698021,28
surfen,16.0,17.0,12.0,17.0,16.0,17.0,19.0,18.0,20.0,5.0,15.0,14.0,5.0,14.0,20.0,20.0,16.0,17.0,17.0,14.0,18.0,11.0,16.0,20.0,17.0,13.0,3.0,19.0,15.21428571,4.524477812,28
tafeltennis,10.0,16.0,9.0,11.0,13.0,16.0,18.0,17.0,20.0,5.0,16.0,16.0,13.0,14.0,20.0,20.0,19.0,19.0,8.0,14.0,14.0,17.0,5.0,20.0,20.0,12.0,13.0,12.0,14.53571429,4.434562427,28
tennis,19.0,20.0,17.0,18.0,20.0,19.0,20.0,19.0,20.0,14.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,19.0,18.0,20.0,19.0,18.0,20.0,20.0,11.0,20.0,20.0,18.67857143,2.019416334,28
turnen,19.0,20.0,17.0,12.0,17.0,19.0,19.0,19.0,20.0,19.0,16.0,17.0,17.0,11.0,20.0,20.0,16.0,17.0,19.0,14.0,18.0,16.0,20.0,20.0,20.0,9.0,14.0,20.0,17.32142857,2.982089392,28
verspringen,18.0,17.0,15.0,11.0,20.0,16.0,15.0,17.0,20.0,16.0,15.0,15.0,8.0,11.0,20.0,20.0,16.0,18.0,16.0,15.0,12.0,18.0,20.0,20.0,20.0,6.0,14.0,19.0,16.0,3.721807605,28
voetbal,16.0,20.0,17.0,20.0,20.0,19.0,20.0,19.0,20.0,20.0,18.0,19.0,19.0,19.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,18.0,20.0,20.0,8.0,20.0,20.0,18.96428571,2.380198293,28
volleybal,17.0,20.0,17.0,15.0,20.0,18.0,20.0,19.0,20.0,18.0,18.0,18.0,17.0,18.0,20.0,20.0,17.0,20.0,19.0,15.0,16.0,18.0,18.0,20.0,20.0,13.0,20.0,20.0,18.25,1.878237945,28
wandelen,15.0,7.0,14.0,4.0,13.0,16.0,15.0,11.0,17.0,5.0,15.0,13.0,10.0,3.0,18.0,18.0,14.0,14.0,11.0,11.0,12.0,17.0,11.0,10.0,15.0,5.0,9.0,18.0,12.17857143,4.355104042,28
wielrennen,14.0,14.0,15.0,16.0,20.0,17.0,20.0,17.0,20.0,18.0,18.0,19.0,18.0,15.0,20.0,20.0,17.0,20.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,5.0,20.0,20.0,17.89285714,3.224205739,28
zeilen,11.0,15.0,12.0,6.0,12.0,18.0,16.0,16.0,19.0,1.0,14.0,9.0,7.0,14.0,18.0,20.0,17.0,11.0,17.0,13.0,14.0,14.0,7.0,17.0,14.0,1.0,9.0,20.0,12.92857143,5.127475528,28
zwemmen,19.0,20.0,17.0,18.0,20.0,18.0,20.0,19.0,20.0,20.0,17.0,18.0,18.0,17.0,20.0,20.0,18.0,20.0,19.0,16.0,20.0,20.0,20.0,20.0,20.0,10.0,16.0,20.0,18.57142857,2.150427545,28
