exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,9.0,7.0,9.0,11.0,19.0,6.0,7.0,6.0,11.0,8.0,8.0,4.0,6.0,10.0,15.0,4.0,5.0,6.0,9.0,6.0,17.0,11.0,7.0,19.0,6.0
bloedzuiger,9.0,20.0,12.0,16.0,7.0,8.0,6.0,8.0,7.0,3.0,5.0,11.0,7.0,9.0,8.0,8.0,6.0,12.0,13.0,8.0,5.0,6.0,4.0,6.0,12.0,6.0
daas,7.0,12.0,20.0,7.0,13.0,9.0,6.0,8.0,6.0,6.0,4.0,11.0,10.0,8.0,6.0,9.0,9.0,8.0,5.0,5.0,8.0,14.0,8.0,9.0,11.0,14.0
duizendpoot,9.0,16.0,7.0,20.0,4.0,7.0,12.0,7.0,4.0,6.0,9.0,9.0,10.0,9.0,8.0,9.0,12.0,13.0,16.0,11.0,8.0,6.0,8.0,6.0,11.0,12.0
fruitvlieg,11.0,7.0,13.0,4.0,20.0,15.0,6.0,7.0,6.0,12.0,8.0,7.0,6.0,6.0,12.0,15.0,8.0,8.0,8.0,8.0,6.0,19.0,12.0,10.0,11.0,7.0
hommel,19.0,8.0,9.0,7.0,15.0,20.0,6.0,8.0,7.0,9.0,11.0,8.0,9.0,3.0,7.0,12.0,6.0,4.0,8.0,8.0,7.0,16.0,11.0,10.0,18.0,8.0
kakkerlak,6.0,6.0,6.0,12.0,6.0,6.0,20.0,9.0,16.0,7.0,7.0,9.0,11.0,8.0,9.0,7.0,11.0,9.0,6.0,9.0,12.0,9.0,3.0,11.0,6.0,6.0
kever,7.0,8.0,8.0,7.0,7.0,8.0,9.0,20.0,11.0,3.0,15.0,4.0,19.0,8.0,9.0,6.0,5.0,11.0,10.0,9.0,11.0,7.0,7.0,4.0,7.0,9.0
krekel,6.0,7.0,6.0,4.0,6.0,7.0,16.0,11.0,20.0,8.0,9.0,8.0,11.0,13.0,6.0,6.0,7.0,7.0,6.0,8.0,17.0,6.0,8.0,11.0,5.0,4.0
libel,11.0,3.0,6.0,6.0,12.0,9.0,7.0,3.0,8.0,20.0,10.0,5.0,7.0,7.0,11.0,16.0,9.0,7.0,4.0,9.0,9.0,15.0,10.0,9.0,11.0,8.0
lieveheersbeestje,8.0,5.0,4.0,9.0,8.0,11.0,7.0,15.0,9.0,10.0,20.0,8.0,14.0,9.0,9.0,7.0,6.0,9.0,6.0,7.0,5.0,12.0,12.0,5.0,7.0,6.0
luis,8.0,11.0,11.0,9.0,7.0,8.0,9.0,4.0,8.0,5.0,8.0,20.0,4.0,6.0,6.0,9.0,9.0,7.0,5.0,8.0,9.0,7.0,8.0,15.0,6.0,4.0
meikever,4.0,7.0,10.0,10.0,6.0,9.0,11.0,19.0,11.0,7.0,14.0,4.0,20.0,9.0,8.0,6.0,7.0,12.0,3.0,6.0,11.0,5.0,6.0,11.0,8.0,6.0
mier,6.0,9.0,8.0,9.0,6.0,3.0,8.0,8.0,13.0,7.0,9.0,6.0,9.0,20.0,8.0,10.0,10.0,12.0,8.0,8.0,4.0,7.0,5.0,13.0,8.0,9.0
mot,10.0,8.0,6.0,8.0,12.0,7.0,9.0,9.0,6.0,11.0,9.0,6.0,8.0,8.0,20.0,12.0,9.0,10.0,5.0,4.0,8.0,15.0,13.0,13.0,12.0,7.0
mug,15.0,8.0,9.0,9.0,15.0,12.0,7.0,6.0,6.0,16.0,7.0,9.0,6.0,10.0,12.0,20.0,9.0,8.0,2.0,6.0,6.0,18.0,9.0,12.0,12.0,3.0
oorworm,4.0,6.0,9.0,12.0,8.0,6.0,11.0,5.0,7.0,9.0,6.0,9.0,7.0,10.0,9.0,9.0,20.0,9.0,16.0,7.0,6.0,7.0,9.0,6.0,10.0,10.0
pissebed,5.0,12.0,8.0,13.0,8.0,4.0,9.0,11.0,7.0,7.0,9.0,7.0,12.0,12.0,10.0,8.0,9.0,20.0,5.0,11.0,4.0,9.0,9.0,9.0,9.0,7.0
rups,6.0,13.0,5.0,16.0,8.0,8.0,6.0,10.0,6.0,4.0,6.0,5.0,3.0,8.0,5.0,2.0,16.0,5.0,20.0,7.0,6.0,6.0,8.0,4.0,9.0,17.0
spin,9.0,8.0,5.0,11.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,6.0,8.0,4.0,6.0,7.0,11.0,7.0,20.0,8.0,5.0,8.0,8.0,7.0,6.0
sprinkhaan,6.0,5.0,8.0,8.0,6.0,7.0,12.0,11.0,17.0,9.0,5.0,9.0,11.0,4.0,8.0,6.0,6.0,4.0,6.0,8.0,20.0,6.0,9.0,9.0,7.0,4.0
vlieg,17.0,6.0,14.0,6.0,19.0,16.0,9.0,7.0,6.0,15.0,12.0,7.0,5.0,7.0,15.0,18.0,7.0,9.0,6.0,5.0,6.0,20.0,14.0,13.0,14.0,8.0
vlinder,11.0,4.0,8.0,8.0,12.0,11.0,3.0,7.0,8.0,10.0,12.0,8.0,6.0,5.0,13.0,9.0,9.0,9.0,8.0,8.0,9.0,14.0,20.0,10.0,8.0,9.0
vlo,7.0,6.0,9.0,6.0,10.0,10.0,11.0,4.0,11.0,9.0,5.0,15.0,11.0,13.0,13.0,12.0,6.0,9.0,4.0,8.0,9.0,13.0,10.0,20.0,9.0,8.0
wesp,19.0,12.0,11.0,11.0,11.0,18.0,6.0,7.0,5.0,11.0,7.0,6.0,8.0,8.0,12.0,12.0,10.0,9.0,9.0,7.0,7.0,14.0,8.0,9.0,20.0,6.0
worm,6.0,6.0,14.0,12.0,7.0,8.0,6.0,9.0,4.0,8.0,6.0,4.0,6.0,9.0,7.0,3.0,10.0,7.0,17.0,6.0,4.0,8.0,9.0,8.0,6.0,20.0
